Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Базавлученко,Алевтин,Олегович,чоловік,1964-07-19,Геолог,хутір Хуст,"шосе Тираспольська, буд. 83, Сорокине, 92000",+380 62 092-15-16,batiuknataliia@example.org
Кальченко,Марʼяна,Володимирівна,жінка,1994-01-27,Бізнесмен,селище Нова Каховка,"вулиця Канатна, буд. 484, Тетіїв, 85394",919-97-33,havrylyshynaaron@example.net
Комар,Йосип,Андрійович,чоловік,2008-03-08,Історик,місто Васильків,"парк Урожайна, буд. 6 кв. 25, Ківерці, 08929",+380 (08) 363-24-66,virapiatachenko@example.com
Шило,Максим,Олексійович,чоловік,1970-05-24,Будник,селище Хмільник,"площа Сміливий, буд. 0 кв. 5, Часів Яр, 54093",+380 52 351-71-66,chupalo@example.org
Демʼяненко,Емілія,Володимирівна,жінка,1940-02-26,Кухар,селище Дунаївці,"проспект Олександра Тимошенка, буд. 810 кв. 7, Харків, 56755",082 140 63 79,vdovenkomykolai@example.org
Корсун,Олена,Андріївна,жінка,1994-05-02,Кінолог,місто Соснівка,"парк М’ясоєдовська, буд. 6, Родинське, 60345",+380 99 484-15-92,marianaiurchenko@example.net
Ярош,Демʼян,Олексійович,чоловік,1972-05-05,Філолог,хутір Глиняни,"набережна Патріотична, буд. 8, Іловайськ, 83740",+380 67 058-67-91,ievhen03@example.org
Лагода,Валентина,Сергіївна,жінка,1943-05-27,Лікар,хутір Мерефа,"проспект Селекційний, буд. 8 кв. 25, Гола Пристань, 94629",471-92-20,violettadankiv@example.net
Тимчук,Панас,Володимирович,чоловік,1969-10-21,Архітектор,село Сокологірськ,"площа Лінія 36-та, буд. 372, Шептицький, 28534",149 37 50,babkooleksandr@example.com
Вахній,Максим,Андрійович,чоловік,1988-05-22,Менеджер,селище Белз,"парк Аеропортівська, буд. 73 кв. 5, Прип'ять, 81292",+380 64 471 70 92,demyddanchenko@example.com
Дробаха,Борислав,Володимирович,чоловік,2002-08-28,Гицель,хутір Андрушівка,"вулиця Шполянська, буд. 508 кв. 27, Родинське, 74255",650 33 33,sahalmaksym@example.net
Данилюк,Златослава,Петрівна,жінка,2001-08-18,Публіцист,село Лисичанськ,"сквер Покровський, буд. 63, Ічня, 26896",056 788 15 47,orkhypdemianenko@example.net
Свириденко,Розалія,Іванівна,жінка,1967-03-11,Філолог,село Нове Давидково,"парк Ольги Благовидової, буд. 906 кв. 52, Мена, 41933",042 520 93 98,khorishkopetro@example.org
Цюцюра,Стефан,Іванович,чоловік,1948-01-29,Круп'є,місто Ланівці,"узвіз Красний, буд. 6, Українськ, 78756",+380 17 699-75-95,kadeniukmaryna@example.com
Притула,Тимофій,Андрійович,чоловік,1968-02-08,Реставратор,селище Енергодар,"провулок Хутірський, буд. 72, Вознесенівка, 10230",072 272 47 40,iieresko@example.org
Бездітко,Амалія,Петрівна,жінка,1969-08-24,Графік,хутір Остер,"шосе Кінна, буд. 302, Дніпрорудне, 66381",060 594-03-65,teslenkoanastasiia@example.org
Вітер,Яків,Володимирович,чоловік,2001-04-10,Ветеринар,селище Герца,"шосе Військово-морських сил, буд. 2 кв. 214, Обухів, 71524",+380 34 560 44 36,iaryna42@example.com
Вдовенко,Марта,Сергіївна,жінка,1971-06-08,Живописець,хутір Добропілля,"шосе Савицький, буд. 617, Львів, 49157",992-34-95,anzhela70@example.net
Фартушняк,Юстина,Сергіївна,жінка,1953-01-17,Петрограф,місто Городня,"сквер Скидановський узвіз, буд. 143, Красилів, 51120",+380 20 090-98-78,solomiiaievtushenko@example.com
Заїка,Христина,Петрівна,жінка,1991-03-08,Композитор,місто Городенка,"шосе Залізничний 3-й, буд. 26 кв. 19, Підгайці, 90759",+380 09 297 86 21,mchornovil@example.com
Михайличенко,Мирослав,Андрійович,чоловік,1992-05-21,Мікробіолог,хутір Луганськ,"сквер Вернидуба, буд. 868, Новояворівськ, 53781",784-76-88,nazar70@example.com
Скирда,Ганна,Андріївна,жінка,1968-03-20,Астронавт,хутір Жидачів,"вулиця Балтська дорога, буд. 61 кв. 90, Радивилів, 83867",+380 (20) 711-96-63,lpavlenko@example.net
Фоменко,Геннадій,Володимирович,чоловік,1985-10-05,Різноробочий,місто Нове Давидково,"шосе Ігоря Балмагії, буд. 528 кв. 7, Тараща, 14508",+380 (59) 418-48-01,roksolana22@example.net
Скоробогатько,Соломія,Володимирівна,жінка,1951-05-04,Намотувальник,хутір Брянка,"сквер Економічний, буд. 4, Бережани, 99517",031 107 06 74,varfolomiiolifirenko@example.com
Бандурка,Амвросій,Іванович,чоловік,1971-06-06,Громадський діяч,хутір Богуслав,"узвіз Кортацці, буд. 68 кв. 156, Ананьїв, 63163",+380 45 870-94-74,petro79@example.net
Самойленко,Мирон,Сергійович,чоловік,1997-03-27,Сантехнік,місто Довжанськ,"шосе Довга, буд. 819, Рава-Руська, 64235",+380 24 698-53-56,turkaloliza@example.com
Цимбалюк,Олександр,Олексійович,чоловік,1991-01-17,Економіст,село Скадовськ,"набережна Кримська, буд. 193 кв. 794, Ковель, 55364",381-36-66,ievhenbarannyk@example.net
Ірванець,Антон,Олегович,чоловік,1982-06-08,Палеонтолог,місто Білгород-Дністровський,"набережна Ланжерон, буд. 01 кв. 8, Мукачево, 86873",+380 53 082-08-05,handriienko@example.com
Гречко,Камілла,Іванівна,жінка,1942-03-05,Кінокритик,місто Кодима,"площа Локомотивна, буд. 45, Петрово-Красносілля, 16928",+380 11 217-99-81,tereza66@example.com
Єрмоленко,Альберт,Петрович,чоловік,2002-04-08,Нотаріус,місто Алмазна,"шосе Вільгельма Габсбурга, буд. 1, Вараш, 52880",030 045 75 11,varvara76@example.com
Литвин,Зиновій,Олексійович,чоловік,1980-11-23,Антрополог,село Нововолинськ,"узвіз Овідіопольська дуга, буд. 4, Тиврів, 92944",088 211 21 65,nvakarchuk@example.com
Бабич,Михайлина,Петрівна,жінка,1943-09-30,Нотаріус,місто Бершадь,"проспект Мацієвської, буд. 70 кв. 04, Сквира, 40091",+380 (26) 431-68-45,vitaliizarudna@example.com
Данько,Борислав,Іванович,чоловік,1975-04-04,Хореограф,селище Звенигородка,"шосе Аеродромний 1-й, буд. 7 кв. 13, Теребовля, 86204",+380 38 465 73 01,heorhiikalchenko@example.net
Вдовиченко,Спас,Володимирович,чоловік,1981-03-24,Нотаріус,місто Долина,"площа Китобійний 1-й, буд. 846, Чигирин, 68466",941-33-02,orysiashapoval@example.net
Цимбалюк,Альберт,Олексійович,чоловік,1961-08-28,Музичний редактор,хутір Чигирин,"набережна Глаубермана, буд. 833, Кипуче, 89759",032 780-13-88,uizhak@example.org
Ковалюк,Симон,Іванович,чоловік,1984-03-23,Провізор,селище Борзна,"узвіз Йоганна Ансельма, буд. 9, Гадяч, 84030",+380 (83) 698-94-61,myronhrechko@example.org
Короленко,Азар,Олексійович,чоловік,1987-01-04,Фольклорист,село Суми,"площа Лінія 44-та, буд. 1 кв. 97, Зіньків, 09843",+380 10 172 21 52,vsirobaba@example.net
Супруненко,Оксана,Сергіївна,жінка,1989-09-15,Краєзнавець,хутір Конотоп,"вулиця Шота Руставелі, буд. 39, Херсон, 05922",+380 07 624-65-39,prokhir93@example.com
Гаврилів,Лукʼян,Петрович,чоловік,1979-12-02,Епідеміолог,хутір Славутич,"провулок Йозефа Прибіка, буд. 72 кв. 3, Немирів, 88079",036 210 71 00,nadiiasheremet@example.org
Чабан,Одарка,Іванівна,жінка,2007-06-05,Менеджер,хутір Дубно,"узвіз Саймона Літмана, буд. 46 кв. 91, Джанкой, 80185",099 615-98-65,nazar07@example.net
Дубина,Ярослава,Петрівна,жінка,1968-02-12,Гірничий інженер,селище Великі Мости,"узвіз Князя Ярослава Мудрого, буд. 96 кв. 352, Кривий Ріг, 27602",+380 38 936-11-61,irenavyshniak@example.com
Ґалаґан,Аркадій,Сергійович,чоловік,1996-03-09,Математик,селище Мала Виска,"сквер Садова, буд. 68, Добропілля, 18383",+380 23 116-05-95,danylobabii@example.com
Рева,Костянтин,Петрович,чоловік,1990-10-12,Дизайнер,село Іловайськ,"проспект Виставочна, буд. 11 кв. 005, Запоріжжя, 13162",025 361-53-21,atereshchuk@example.com
Шухевич,Борислав,Олексійович,чоловік,1976-06-27,Драматург,селище Березівка,"провулок Роздольна, буд. 86 кв. 381, Докучаєвськ, 04364",627 41 81,hlibavramchuk@example.org
Башполченко,Богодар,Олегович,чоловік,2000-04-15,Агроном,село Берестечко,"сквер Рози вітрів, буд. 4 кв. 84, Берестин, 44411",+380 08 717-87-78,prokopovychboleslav@example.org
Оніщук,Семен,Іванович,чоловік,2004-01-28,Ювелір,село Львів,"проспект Наявний 3-й, буд. 520 кв. 599, Шептицький, 99901",725 47 23,markosyrotenko@example.org
Дзюба,Степан,Іванович,чоловік,1961-08-16,Хімік,місто Долинська,"сквер Свободи, буд. 751 кв. 4, Алмазна, 90280",919-76-80,darynalemeshko@example.com
Єрьоменко,Демид,Іванович,чоловік,1962-07-14,Астроном,місто Ізяслав,"площа Радісний, буд. 8 кв. 2, Корсунь-Шевченківський, 96819",+380 25 356-06-67,hermanzhuk@example.net
Лагода,Аарон,Іванович,чоловік,1939-06-12,Режисер,селище Трускавець,"шосе Матеріальний 1-й, буд. 41 кв. 2, Вишгород, 91738",+380 40 817 39 41,zaietspanas@example.org
Бездітко,Богданна,Володимирівна,жінка,1999-12-15,Лікар,хутір Яремче,"набережна Стрийський, буд. 02, Калуш, 44556",+380 28 905-21-75,boleslavtsiupa@example.net
Вернидуб,Азар,Петрович,чоловік,1944-05-22,Державний службовець,селище Самбір,"проспект Рєпіна, буд. 3 кв. 2, Коростишів, 37453",+380 64 404-84-58,tandriiovych@example.org
Бабʼяк,Володимир,Олегович,чоловік,2001-03-15,Петрограф,хутір Славута,"сквер Андросовський, буд. 1, Носівка, 22232",+380 73 330 27 19,vasyl20@example.org
Гунько,Вʼячеслав,Сергійович,чоловік,1946-02-05,Візажист,селище Могилів-Подільський,"набережна Олени Теліги, буд. 599 кв. 130, Фастів, 24216",+380 04 836-02-29,tymofii29@example.net
Худобʼяк,Людмила,Петрівна,жінка,1939-02-15,Кур'єр,місто Міусинськ,"парк 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 211 кв. 454, Корець, 04834",+380 84 262-60-31,bohodarorobets@example.com
Філіпенко,Георгій,Петрович,чоловік,1951-07-12,Музикознавець,селище Білицьке,"площа Наявний 5-й, буд. 70 кв. 27, Кременчук, 74271",026 073 81 70,sartym@example.org
Черінько,Борис,Олегович,чоловік,1962-05-06,Перекладач,селище Заводське,"проспект Новощіпний ряд, буд. 46, Монастириська, 95717",+380 35 639-99-36,kanivetsada@example.net
Юрчук,Оксана,Олегівна,жінка,1985-08-29,Драматург,хутір Красилів,"парк Миколи Гумільова, буд. 8, Решетилівка, 51241",+380 (46) 375-36-55,wlupii@example.org
Юрчишин,Оксенія,Олексіївна,жінка,1973-02-15,Мірошник,місто Хрестівка,"вулиця Кустанайська, буд. 6 кв. 04, Горохів, 38893",089 579-66-29,fomenkomariana@example.net
Їжакевич,Олег,Олексійович,чоловік,1952-04-19,Футболіст,місто Міусинськ,"набережна Середньофонтанський, буд. 48, Олександрівськ, 32394",+380 63 035-41-45,tpavlychenko@example.org
Дубина,Семен,Олексійович,чоловік,1953-08-05,Скульптор,село Чорноморськ,"узвіз Миргородський, буд. 78 кв. 0, Звенигородка, 03636",+380 88 631-81-46,olesskoryk@example.org
Рубан,Віра,Сергіївна,жінка,1999-07-06,Етнограф,село Шумськ,"узвіз Каберне, буд. 9 кв. 444, Судак, 74325",+380 56 305 18 78,urudyk@example.org
Гайденко,Орися,Сергіївна,жінка,1982-09-18,Фольклорист,село Сімферополь,"сквер Ланжерон, буд. 70, Заставна, 10409",938 53 84,qrubets@example.com
Свириденко,Борис,Олексійович,чоловік,1967-10-30,Краєзнавець,селище Білгород-Дністровський,"вулиця Вознесенський, буд. 0, Дебальцеве, 62464",+380 33 891-86-71,olha25@example.net
Конопля,Віктор,Олексійович,чоловік,1962-10-06,Мистецтвознавець,хутір Вараш,"узвіз Аркадійська, буд. 285, Бобринець, 91603",090 160 27 27,khrystynanazarenko@example.net
Вітер,Анастасія,Андріївна,жінка,1965-12-05,Електрик,селище Боково-Хрустальне,"набережна Десятого квітня, буд. 2, Дергачі, 77784",+380 43 282-36-95,tmykhailiuk@example.net
Михалюк,Юстим,Олегович,чоловік,1971-03-16,Водій,місто Южне,"шосе Шостої 1-й, буд. 1 кв. 363, Боково-Хрустальне, 91553",+380 78 328-64-81,cfesenko@example.net
Асаула,Гліб,Андрійович,чоловік,1972-10-22,Дипломат,хутір Щолкіне,"проспект 14-та ст. Великого Фонтану пляж, буд. 8, Довжанськ, 58642",069 775-08-76,uchornovil@example.net
Свистун,Святослава,Іванівна,жінка,1959-06-07,Конструктор,хутір Полтава,"вулиця Дюківська, буд. 912, Борщів, 40457",612 61 22,dmykytiuk@example.com
Гавришкевич,Віктор,Олексійович,чоловік,1965-08-14,Електромонтажник,місто Олександрія,"вулиця Ярослава Баїса, буд. 387, Березань, 17945",+380 07 359-92-97,iustym30@example.org
Сагаль,Оксенія,Андріївна,жінка,2002-05-17,Намотувальник,село Перечин,"вулиця Олени Теліги, буд. 2 кв. 468, Борислав, 02318",+380 91 275-72-74,nadiia41@example.org
Василенко,Марко,Олегович,чоловік,2004-10-06,Економіст,місто Волноваха,"шосе Косовський, буд. 777 кв. 0, Благовіщенське, 27242",008 599-93-96,liza71@example.org
Смик,Леонід,Олегович,чоловік,1993-03-10,Продюсер,село Ковель,"вулиця 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 799, Прилуки, 20152",062 619 98 85,marta48@example.com
Зарудна,Валерій,Андрійович,чоловік,2007-03-04,Візажист,хутір Монастириська,"провулок Опішнянський, буд. 19 кв. 4, Новомиргород, 62661",+380 38 247-42-66,svasylenko@example.org
Притула,Амвросій,Сергійович,чоловік,1965-02-27,Перекладач,місто Виноградів,"проспект Олександра Кутузакія, буд. 600 кв. 911, Кобеляки, 27379",118-57-07,zdutka@example.net
Забара,Оксана,Олегівна,жінка,1976-11-08,Акушер,село Баранівка,"шосе Дюківська, буд. 540 кв. 53, Белз, 91656",046 57 05,rshapoval@example.net
Гаврилюк,Соломія,Андріївна,жінка,2004-07-09,Сантехнік,місто Щолкіне,"площа Костанді 2-й, буд. 889, Чигирин, 63811",+380 39 586 14 29,volodymyrtsymbaliuk@example.com
Бабійчук,Лілія,Андріївна,жінка,1978-06-20,Футболіст,місто Волноваха,"парк Пiвденний, буд. 532 кв. 814, Арциз, 79037",+380 41 622 81 48,tymchenkoiustyna@example.org
Приходько,Ганна,Олексіївна,жінка,1988-04-30,Електрик,місто Яворів,"сквер Усатівська, буд. 7 кв. 0, Луганськ, 07110",607 61 90,skybaorkhyp@example.com
Андрійчук,Ілля,Петрович,чоловік,1989-07-07,Каскадер,село Попасна,"шосе Слави, буд. 39 кв. 39, Кальміуське, 02638",075 491 73 99,iukhym16@example.net
Тригуб,Ольга,Іванівна,жінка,1998-07-08,Круп'є,селище Хуст,"сквер Проценка, буд. 73, Ужгород, 21188",+380 41 162-49-83,dmytrohavryshkevych@example.com
Наливайко,Марина,Петрівна,жінка,2003-02-09,Кушнір,хутір Жашків,"площа Сьома, буд. 1, Подільськ, 96694",+380 94 732-41-66,udovenkovarvara@example.net
Батуринець,Людмила,Олексіївна,жінка,1980-04-28,Науковець,місто Лубни,"шосе Абрикосовий, буд. 375 кв. 68, Гуляйполе, 23343",052 202-05-88,mvdovychenko@example.net
Худяк,Марко,Олексійович,чоловік,1994-11-18,Няня,село Очаків,"набережна Осіння, буд. 913, Сімферополь, 73988",067 947-69-09,fartushniakiukhym@example.com
Батіг,Борислав,Іванович,чоловік,1945-09-09,Акушер,місто Монастирище,"набережна Малинова, буд. 13, Балаклія, 60307",+380 46 685-12-91,odotsenko@example.net
Гоголь,Аркадій,Петрович,чоловік,2006-07-07,Стиліст,селище Ворожба,"набережна Заводська 4-та, буд. 608, Нововолинськ, 06723",008 222 69 15,qkhrystenko@example.org
Щириця,Дмитро,Петрович,чоловік,1978-06-12,Хімік,хутір Ірпінь,"вулиця Задніпровського, буд. 745, Вільнянськ, 54140",+380 33 062 34 67,xbevz@example.net
Редько,Азар,Сергійович,чоловік,1944-12-11,Інженер,селище Брянка,"парк Нафтовиків 3-й, буд. 1, Гадяч, 83824",+380 46 772-70-89,rartymyshyn@example.org
Онищенко,Руслан,Іванович,чоловік,1999-05-07,Інженер,село Новоазовськ,"вулиця Ризька, буд. 0 кв. 662, Гадяч, 71030",+380 72 334-80-25,hanna88@example.com
Гаврилишин,Ліза,Петрівна,жінка,1957-02-14,Паблік рилейшнз,місто Сміла,"провулок Пересипська 6-та, буд. 45, Докучаєвськ, 85943",087 785-73-74,avhustyn93@example.org
Дацюк,Олег,Сергійович,чоловік,1952-01-03,Географ,місто Пологи,"набережна Побратимів, буд. 56 кв. 846, Олевськ, 75494",+380 61 167-60-26,prokopovychboryslav@example.net
Ляшко,Макар,Іванович,чоловік,1984-04-26,Швачка,місто Конотоп,"провулок Лінія 54-та, буд. 139 кв. 1, Новогродівка, 80837",041 697 17 46,bizhak@example.com
Карпа,Анжела,Петрівна,жінка,1966-06-11,Мистецтвознавець,село Кобеляки,"провулок Дорбуду, буд. 61 кв. 265, Вилкове, 31268",+380 (04) 077-48-07,okhudiak@example.net
Ґереґа,Борислав,Сергійович,чоловік,1982-05-20,Круп'є,місто Ладижин,"сквер Шевченка парк, буд. 32 кв. 978, Дубляни, 01216",+380 10 431-76-30,nazar06@example.org
Петрик,Миколай,Олегович,чоловік,1999-11-03,Ветеринар,хутір Біла Церква,"сквер Флотська, буд. 15, Львів, 09923",+380 33 090-59-74,hrytsenkovladyslav@example.com
Лагода,Анастасія,Олегівна,жінка,1946-01-29,Шериф,місто Петрово-Красносілля,"провулок Трояндова, буд. 2 кв. 1, Покров, 06796",301-12-99,ostapmazepa@example.com
Данилюк,Петро,Володимирович,чоловік,1961-06-17,Історик,селище Чернігів,"провулок Нафтовиків 1-й, буд. 316, Зоринськ, 10012",+380 06 485 08 30,khorishkoviacheslav@example.net
Алексійчук,Петро,Олегович,чоловік,2003-09-15,Доцент,селище Миколаївка,"площа Путівна, буд. 6, Ніжин, 19230",070 063 98 77,colifirenko@example.com
Ґоляш,Остап,Олегович,чоловік,1970-06-03,Програміст,село Залізне,"провулок Водний, буд. 19, Зборів, 43826",058 913-36-14,erikavitruk@example.net
Затула,Святослав,Іванович,чоловік,1993-10-27,Підприємець,село Нетішин,"шосе Штильова, буд. 333, Радивилів, 84485",+380 54 703 87 53,karpenkoievhen@example.org
Стус,Симон,Олексійович,чоловік,1942-01-31,Музичний редактор,село Канів,"набережна Сортувальна 2-га, буд. 625, Кам'янка (Черкаська область), 80327",+380 78 992-24-00,milenaarkhymovych@example.org
Данчук,Аврелій,Олексійович,чоловік,1951-10-13,Громадський діяч,хутір Чуднів,"шосе Сірожупанників, буд. 01, Підгородне, 21859",230 49 20,allaievtushok@example.com
Жук,Олекса,Олегович,чоловік,1979-01-08,Гицель,селище Надвірна,"узвіз Східний, буд. 23 кв. 6, Монастирище, 39716",+380 57 272-68-52,haievskapylyp@example.org
Вергун,Єва,Сергіївна,жінка,1943-08-26,Юрист,селище Тисмениця,"набережна Ольгіївська, буд. 41 кв. 252, Лохвиця, 02644",+380 61 949 14 26,vasylenkoprokhir@example.com
Мазепа,Лариса,Андріївна,жінка,1974-02-02,Електротехнік,хутір Андрушівка,"площа Персикова, буд. 004 кв. 2, Золочів, 06476",+380 (01) 665-02-94,pylyphrechanyk@example.org
Доценко,Пріска,Олегівна,жінка,2006-07-14,Стоматолог,село Багачеве,"сквер Лінія 22-га, буд. 43 кв. 67, Борзна, 53668",+380 05 784-87-21,rkhudobiak@example.com
Артим,Тетяна,Олегівна,жінка,1974-08-04,Математик,селище Буринь,"парк Рульовий, буд. 57 кв. 864, Златопіль, 45788",344-72-11,egerus@example.net
Гайда,Володимира,Андріївна,жінка,1973-02-02,Прокурор,хутір Вознесенівка,"площа Поштова, буд. 99 кв. 3, Федорівка, 58138",+380 22 853-69-81,orlykhanna@example.net
Зінкевич,Орест,Олексійович,чоловік,2002-03-13,Адвокат,хутір Ірміно,"узвіз Палубний, буд. 14, Горішні Плавні, 45177",+380 29 128 49 39,cfartushniak@example.org
Гузь,Теодор,Іванович,чоловік,1939-10-26,Євнух,місто Донецьк,"вулиця Вчительська, буд. 472, Добропілля, 18578",+380 90 448 52 95,frantscharnysh@example.net
Авдєєнко,Орина,Петрівна,жінка,1998-06-05,Гірничий інженер,хутір Новий Розділ,"сквер Академіка Богатського, буд. 819 кв. 262, Суходільськ, 06235",044 710-78-92,shovkopliasonysym@example.net
Макогон,Аврелій,Олегович,чоловік,1941-12-30,Золотар,місто Сіверськ,"шосе Пересипський узвіз, буд. 5, Канів, 70747",+380 (37) 291-72-16,albinakhmara@example.org
Гаврюшенко,Марʼяна,Володимирівна,жінка,2000-05-02,Педагог,хутір Трускавець,"провулок Квітнева, буд. 52 кв. 986, Борзна, 97857",+380 83 115-92-82,hanna20@example.net
Шовкопляс,Клавдія,Олексіївна,жінка,1975-04-04,Пекар,хутір Довжанськ,"площа Вертелецького, буд. 4, Білицьке, 13595",068 205-55-52,martyntereshchuk@example.com
Артюшенко,Орхип,Андрійович,чоловік,1955-03-24,Єгер,селище Городок,"узвіз Севастопольський, буд. 7 кв. 12, Шаргород, 87459",+380 23 416 58 30,vasyl83@example.org
Швайка,Одарка,Андріївна,жінка,2002-08-22,Прокурор,селище Златопіль,"набережна Соляна, буд. 6, Вільногірськ, 40305",+380 75 751 89 93,iesypenkoalevtyn@example.org
Власюк,Богуслава,Олексіївна,жінка,1949-01-04,Намотувальник,село Красногорівка,"проспект Андреєвського, буд. 764, Селидове, 13519",+380 19 139-86-11,avramchukanita@example.org
Яковенко,Ірена,Іванівна,жінка,1948-10-20,Етнограф,село Черкаси,"вулиця Лучиста, буд. 4, Сокологірськ, 10492",614-23-45,babiakviacheslav@example.com
Оберемко,Макар,Олегович,чоловік,1985-05-01,Стиліст,хутір Хрустальний,"узвіз Чорноморський 2-й, буд. 9, Хутір-Михайлівський, 68505",092 695 67 13,shapovalostap@example.org
Панчук,Амалія,Сергіївна,жінка,1995-12-03,Реабілітолог,місто Бібрка,"сквер Петра Лещенка, буд. 8, Немирів, 83152",475-47-38,gkolesnychenko@example.net
Шовкопляс,Ольга,Олегівна,жінка,1957-07-17,Реабілітолог,село Хмільник,"узвіз Хімічний 3-й, буд. 20, Чернігів, 21276",+380 32 570 17 09,nazarmazur@example.org
Абрамчук,Соломон,Олексійович,чоловік,1945-10-04,Машиніст,місто Олександрія,"площа Академіка Заболотного, буд. 02 кв. 70, Лисичанськ, 79618",+380 56 884-64-16,partymyshyn@example.org
Венгринович,Юстина,Олегівна,жінка,1984-12-14,Археолог,селище Бібрка,"вулиця Фестивальний, буд. 3 кв. 8, Миргород, 27980",058 841-73-75,wlukash@example.com
Сацюк,Онисим,Сергійович,чоловік,2001-04-05,Фармацевт,селище Апостолове,"сквер Щоглова, буд. 05 кв. 095, Полонне, 78362",+380 (67) 090-79-84,vasylenkoiarema@example.com
Вахній,Артем,Олегович,чоловік,1957-10-11,Паблік рилейшнз,місто Великі Мости,"площа Гранатна, буд. 3, Берестечко, 01483",551-85-83,solomontverdokhlib@example.com
Бабиченко,Камілла,Сергіївна,жінка,1965-04-28,Юрист,хутір Родинське,"узвіз Новоберегова, буд. 741, Сватове, 35156",+380 53 988 77 52,tesliazynovii@example.net
Приходько,Пилип,Петрович,чоловік,1964-08-19,Медик,хутір Бахмут,"узвіз Бондарна, буд. 97, Дніпрорудне, 89000",+380 49 241-00-88,pelekhsofiia@example.net
Михалюк,Златослава,Андріївна,жінка,1959-05-14,Правник,село Залізне,"площа Патріотична, буд. 4, Сокологірськ, 24120",+380 80 999-62-25,vavramenko@example.com
Зінчук,Павло,Андрійович,чоловік,1983-10-21,Зоолог,місто Суходільськ,"вулиця Прокатна, буд. 594, Моспине, 22503",125 81 56,kostiantyn95@example.net
Філіпенко,Марина,Олексіївна,жінка,1974-05-28,Актор,хутір Балта,"парк Балтський 7-й, буд. 357 кв. 07, Кам'янець-Подільський, 30126",+380 74 705 85 25,leopold66@example.net
